Id,Gender,Country Code,Country,Living Zone,Age,Age Group,Children,Education Level,Full Time Job,Job Title,Job Code,Qs_Awareness,Qs_Vote,Qs_Effect,Qs_Arguments For,Qs_Arguments Against,Quantity
0f286c80-dd77-0133-7803,Male,AT,Austria,Rural,40 years old,40_65,Yes,Medium,No,,,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,1
fe54f360-db27-0133-c444,Male,AT,Austria,Country,37 years old,26_39,No,Medium,No,,,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,1
960b1ce0-db01-0133-528c,Male,AT,Austria,City,48 years old,40_65,Yes,Medium,Yes,Data Security Analyst,a003702c0cea282e17967772dd83de5e,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,1
d7912480-da41-0133-5bc1,Male,AT,Austria,Rural,31 years old,26_39,Yes,Low,No,,,I know something about it,I would vote against it,Stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,1
d468c670-da40-0133-de39,Female,AT,Austria,Non-Rural,1990,26_39,No,High,No,,,I know something about it,I would probably vote for it,Work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,1
76767d10-dd6c-0133-f56d,Female,AT,Austria,City,1999,14_25,No,Low,No,,,I have never heard of it,I would probably vote against it,Gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,1
a96ed910-de55-0133-2582,Male,AT,Austria,Rural,34 years old,26_39,Yes,Medium,Yes,Database Marketing Analyst,04c82eae29e1c4a30eac0710b74ab276,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,1
68eace50-db46-0133-97f7,Male,AT,Austria,City,1989,26_39,Yes,Low,Yes,Computer or Data Processing Systems Consultant,fcaf4aac737e53ad24b9f32f08b8740f,I have heard just a little about it,I would vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,1
aa342b50-dcc4-0133-f797,Male,AT,Austria,City,40 years old,40_65,Yes,Medium,Yes,Geographic Information Systems Database Administrator (GIS Database Administrator),d71c4164c99a5f9bca773e755a72f40f,I understand it fully,I would probably vote against it,Gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,1
638a8b80-da45-0133-e8e1,Female,AT,Austria,Urban,2001,14_25,No,No,No,,,I have heard just a little about it,I would probably vote for it,Do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance,1
b1eb3870-decd-0133-d783,Female,AT,Austria,Rural,1991,14_25,No,,Yes,Database Development and Administration Project Manager,3833bd699e7afe4665b595f282da0387,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working,1
1c8ea6b0-de3d-0133-605b,Male,AT,Austria,Rural,1989,26_39,No,High,Yes,"Naval Tactical Data System--Combat Information Center Watch Officer, General",19e384e977796c25780d8c28b12089c4,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,1
d31a5ea0-d969-0133-79f5,Female,AT,Austria,City,35 years old,26_39,Yes,Medium,No,,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working,1
2c1d6730-d970-0133-9161,Male,AT,Austria,Rural,48 years old,40_65,No,Medium,Yes,Data Coder Operator,474b962c13632a04e42a546be4f11dbb,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,1
307ce090-daf9-0133-f4f2,Male,AT,Austria,CountrySide,51 years old,40_65,Yes,Low,No,,,I know something about it,I would probably vote against it,Spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,1
388a2f20-db3b-0133-570e,Female,AT,Austria,Rural,1988,26_39,Yes,Medium,No,,,I know something about it,I would probably vote against it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,1
12cd5b70-dbd8-0133-0395,Male,AT,Austria,Country,40 years old,40_65,Yes,,Yes,Automatic Data Processing Customer Liaison (ADP Customer Liaison),dac2e921c1f887d9efc4c06fa33c1397,I have never heard of it,I would vote for it,Work less,None of the above,None of the above,1
684ad570-de3f-0133-705d,Male,AT,Austria,Rural,1999,0_13,No,Low,No,,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,1
4c7898b0-dbdf-0133-993b,Female,AT,Austria,Urban,35 years old,26_39,No,High,Yes,Data Entry Representative,996da29c84f5eed00da40c230f4c4078,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,1
d911df50-d8f8-0133-b5b7,Male,AT,Austria,City,1991,14_25,No,Medium,No,,,I know something about it,I would probably vote against it,Spend more time with my family,None of the above,It might encourage people to stop working,1
11c61a10-de3d-0133-6041,Male,AT,Austria,City,42 years old,40_65,No,High,Yes,Computer or Data Processing Systems Consultant,fcaf4aac737e53ad24b9f32f08b8740f,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state,1
ab8dbf10-da1c-0133-f11e,Male,AT,Austria,CountrySide,37 years old,26_39,Yes,Low,Yes,Geographic Information Systems Database Administrator (GIS Database Administrator),d71c4164c99a5f9bca773e755a72f40f,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,1
d13a4420-dee8-0133-05e2,Female,AT,Austria,CountrySide,1994,14_25,No,Medium,Yes,Data Processing Auditor,cc2b26cc436bea36bda3bdd7367c411a,I have heard just a little about it,I would probably vote against it,Work less,None of the above,None of the above,1
9699d060-da5b-0133-0ae5,Female,AT,Austria,Non-Rural,45 years old,40_65,No,High,Yes,Maintenance Data Analyst,25fe195cbf915c0824fa6c44e6d0008c,I know something about it,I would probably vote for it,Do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,1
d30d1810-da47-0133-15c3,Male,AT,Austria,Rural,31 years old,26_39,No,Low,No,,,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state,1
9b532680-dc7d-0133-dcb5,Male,AT,Austria,CountrySide,47 years old,40_65,Yes,Low,Yes,Automatic Data Processing Systems Security Specialist (ADP Systems Security),76385cb24e831b3364279b9de5641d8f,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,1
0a8ed740-de42-0133-f3a6,Male,AT,Austria,Urban,33 years old,26_39,Yes,High,No,,,I know something about it,I would probably vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward,1
8d6c0630-dc17-0133-c863,Female,AT,Austria,Rural,64 years old,40_65,Yes,Low,No,,,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state,1
1c4a0200-da22-0133-e797,Male,AT,Austria,City,1990,26_39,No,Medium,No,,,I have heard just a little about it,I would probably vote against it,Gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,1
896c8bd0-dcc3-0133-f1c3,Female,AT,Austria,Country,38 years old,26_39,No,Low,Yes,Database Engineer,16b67d7f57698455aefbc1ae1b358b50,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,1
db1bf110-d8d7-0133-8ee6,Female,AT,Austria,Rural,35 years old,26_39,Yes,High,No,,,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state,1
5441c1d0-d9a6-0133-55bc,Male,AT,Austria,Urban,55 years old,40_65,No,High,Yes,Data Processing Systems Project Planner,b24ece3300d2f8ab34f9553e531183d6,I know something about it,I would vote against it,Work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward,1
a332d3f0-d8c9-0133-a2e5,Male,AT,Austria,Rural,41 years old,40_65,No,Low,No,,,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,1
581cec00-da3e-0133-cc6b,Male,AT,Austria,Urban,1990,26_39,No,High,Yes,Database Administration Associate,5db2c8d6539f983e1ca3d7c5b939e190,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working,1
cf24ed60-da3f-0133-0034,Female,AT,Austria,Country,48 years old,40_65,No,High,Yes,Automatic Data Processing Planner,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above,1
03d9e160-da33-0133-b694,Male,AT,Austria,Urban,40 years old,40_65,Yes,Medium,Yes,Data Warehousing Engineer,36675c937946c8a4fc5de7d0b4c850de,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,1
c8ab8660-daf3-0133-b467,Male,AT,Austria,City,64 years old,40_65,Yes,Medium,No,,,I understand it fully,I would probably vote for it,Work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,1
5fb8d530-d8c5-0133-bfb5,Male,AT,Austria,Urban,1992,0_13,No,High,No,,,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,1
3f32d3c0-dbd5-0133-e559,Female,AT,Austria,Country,2001,14_25,No,Low,No,,,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,1
c76aa3e0-dbf6-0133-0d62,Male,AT,Austria,Country,49 years old,40_65,Yes,,Yes,Data Warehouse Developer,847165cfda6b1dc82ae22b967da8af2f,I know something about it,I would probably vote for it,Spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance,1
2fe1bc10-d8e2-0133-b57f,Male,AT,Austria,Rural,1993,14_25,No,Low,Yes,Database Software Technician,2ca138b991c50dc6696238e5ad800142,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,1
4cd8dfe0-d9a7-0133-5a1b,Male,AT,Austria,Urban,36 years old,26_39,No,Medium,No,,,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,1
d4ac22b0-dd5d-0133-dd11,Female,AT,Austria,Rural,46 years old,40_65,Yes,,No,,,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,1
8c014b80-da49-0133-fd69,Male,AT,Austria,Rural,1989,26_39,No,Low,No,,,I understand it fully,I would vote for it,Work less,It creates more equality of opportunity,It might encourage people to stop working,1
0e383540-dad5-0133-3be7,Male,AT,Austria,Urban,1990,26_39,No,,No,,,I have heard just a little about it,I would vote for it,Do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working,1
e75d0b00-d9b1-0133-043b,Male,AT,Austria,Rural,1998,14_25,No,Medium,Yes,Database Engineer,16b67d7f57698455aefbc1ae1b358b50,I have heard just a little about it,I would vote against it,Look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,1
9cd06680-da89-0133-519f,Female,AT,Austria,Urban,1988,26_39,No,Low,Yes,Data Warehousing Engineer,36675c937946c8a4fc5de7d0b4c850de,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,1
b3fc91b0-db3a-0133-505a,Female,AT,Austria,Rural,35 years old,26_39,Yes,High,No,,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,1
2eea8620-dbeb-0133-3910,Female,AT,Austria,Country,44 years old,40_65,Yes,Low,Yes,Data Warehousing Engineer,36675c937946c8a4fc5de7d0b4c850de,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,1
b8616bf0-dd85-0133-dabb,Female,AT,Austria,Country,1991,14_25,No,Low,Yes,Data Processing Auditor,cc2b26cc436bea36bda3bdd7367c411a,I know something about it,I would probably vote against it,Spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state,1
50e1e660-de3a-0133-589e,Male,AT,Austria,City,2001,14_25,No,,No,,,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,1
66867d70-de2e-0133-fd0b,Male,AT,Austria,Non-Rural,1996,0_13,No,Low,No,,,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working,1
9567fd10-da36-0133-f91e,Female,AT,Austria,City,47 years old,40_65,Yes,No,No,,,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance,1
e55a9780-d98f-0133-f7be,Female,AT,Austria,Non-Rural,1991,0_13,No,Medium,No,,,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,1
5eaadd90-da5a-0133-3d70,Female,AT,Austria,Rural,65 years old,40_65,Yes,High,Yes,Computer or Data Processing Systems Consultant,fcaf4aac737e53ad24b9f32f08b8740f,I understand it fully,I would probably vote for it,Do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state,1
ca3f65f0-d92b-0133-3959,Male,AT,Austria,Rural,46 years old,40_65,Yes,Medium,Yes,Data Coordinator,049a3f3a2b5f85cb2971ba77ad66e10c,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,1
c8394f00-d9f4-0133-fe97,Male,AT,Austria,City,1999,14_25,No,Low,No,,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward,1
dade6cd0-d9ff-0133-f2d6,Male,AT,Austria,City,1995,14_25,No,Medium,Yes,Data Officer,775190277a849cba701b306a7b374c0a,I understand it fully,I would vote for it,Work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,1
437716a0-da35-0133-f2f5,Male,AT,Austria,Urban,52 years old,40_65,Yes,Low,Yes,Data Keyer,022d0e3a40aa3e29bca6851542b27842,I know something about it,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,1
8cc018b0-de4b-0133-0bcd,Male,AT,Austria,Urban,1990,26_39,No,High,Yes,Geographic Information Systems Data Specialist (GIS Data Specialist),375017ea3a1a97f5ea676def873bb25b,I understand it fully,I would probably vote for it,Do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working,1
7c2e43a0-da1a-0133-acda,Male,AT,Austria,Non-Rural,2002,0_13,No,Low,No,,,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,1
b9dbcc80-da2b-0133-481e,Female,AT,Austria,City,1996,0_13,No,Medium,No,,,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,1
89977480-d9bc-0133-b906,Male,AT,Austria,Non-Rural,1989,26_39,Yes,No,Yes,Database Administration Manager,1dd2fdc8a3981f2a1d8f0ca173952bb8,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward,1
11cf6080-dc70-0133-8090,Male,AT,Austria,Urban,50 years old,40_65,Yes,Medium,Yes,Database Security Expert,e605336f5a43949cb6b18054fd1937f1,I have heard just a little about it,I would probably vote against it,Work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,1
6aa21d60-deec-0133-20b3,Male,AT,Austria,Urban,1996,14_25,No,,No,,,I understand it fully,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,1
08159f30-dbf8-0133-74d8,Female,AT,Austria,Non-Rural,34 years old,26_39,Yes,Low,Yes,Data Systems Manager,800b621aab5dac18f4caef621fa43a49,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,1
5f772780-dd7d-0133-5e86,Female,AT,Austria,Urban,1997,0_13,No,High,No,,,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,1
996a7cf0-d98b-0133-a5d7,Female,AT,Austria,Country,1998,14_25,No,High,No,,,I have heard just a little about it,I would probably vote against it,Look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,1
88d64de0-d9eb-0133-a46b,Female,AT,Austria,Rural,38 years old,26_39,Yes,Low,No,,,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,1
d2a9a650-d964-0133-4678,Female,AT,Austria,Urban,1988,26_39,Yes,Medium,Yes,Data Warehousing Manager,d06dfb43c95b585a89ae556c9221b573,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward,1
7a3932b0-da34-0133-8caf,Female,AT,Austria,Urban,1990,26_39,No,High,No,,,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,1
54fcb0f0-da1c-0133-efb9,Male,AT,Austria,Rural,46 years old,40_65,Yes,Low,Yes,Geographic Information Systems Data Administrator (GIS Data Administrator),a12a16280e22220f9354333f6fe1b22a,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,1
c7ec06f0-d94c-0133-0451,Male,AT,Austria,Non-Rural,41 years old,40_65,No,Low,Yes,Data Base Design Analyst,477b53ef09d37f098d5ed74f47fcbaec,I know something about it,I would probably vote against it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",It increases dependence on the state,1
1ab814f0-dba0-0133-a033,Male,AT,Austria,CountrySide,43 years old,40_65,Yes,No,Yes,Director of Data Operations,e2f68bf748aea2c7d2254550c0c92b23,I know something about it,I would vote for it,Gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,1
994969a0-dca5-0133-b593,Female,AT,Austria,CountrySide,1990,26_39,Yes,Low,No,,,I understand it fully,I would vote for it,Look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state,1
5f4a8e40-dbd4-0133-e162,Female,AT,Austria,Non-Rural,1987,26_39,Yes,High,Yes,Database Modeler,45033f83b6e0309eca9bcd76917f15d0,I understand it fully,I would not vote,Gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,1
